Epxt,RSW1 1a,,Concentration,,Neat,,,,
No. Test Runs :,1,,,,,,,,
Temp Mode :,ISOTHERMAL 25.0 ¡C,,,,CP 110,,,,
Thermal Equilibrium Time :,0.00 s,,,,,,,,
Pre-Shear :,OFF,,,,,,,,
Shear mode :,Controlled Rate,,,,,,,,
Sweep Type :,RAMP,Range :,LINEAR,,,,,,
Start Shear :,0.00075 1/s,End Shear :,50.000 1/s,Ramp Dir :,Up,,,,
Sweep Time :,250 s,No. Samples :,50,Yield Analysis :,OFF,,,,
Thixotropic Analysis :,OFF,,,,,,,,
Data,Integration,2.5 s,Delay,2.5 s,,,,,
Notes,,,,,,,,,
,Viscometry Tests,,,,,Viscometry Data,,,
,Shear Rate 1/s,Shear Stress Pa,Viscosity Pas,Normal Force N1 Pa,Notes,,,,
,0.0007164,3.765,5.26E+03,30.54,,1st Phase,worked from highest point,,
,0.0009323,7.176,7.70E+03,1.50E+02,,,Rate,Stress,Visc
,0.001165,10.9,9.35E+03,60.58,,Yield Point,,,
,0.001493,15.23,1.02E+04,-3.45E+01,,Viscosity,11667,,
,0.00191,20.35,1.07E+04,3.58E+02,,Stress,,,
,0.002277,26.41,1.16E+04,300.1,,2nd Phase (0.1329 1/s onwards),,,
,0.00296,33.65,1.14E+04,442.8,,Viscosity,-0.5471,,
,0.003683,42.63,1.16E+04,582,,Stress,,,
,0.004575,53.16,1.16E+04,3.04E+02,,,,,
,0.005759,65.73,1.14E+04,444.3,,,,,
,0.007243,81.1,1.12E+04,2.80E+02,,G' G'' Frequency Sweep,,,
,0.008997,99.1,1.10E+04,445.8,,Angular Frequency rad/s,Elastic Modulus Pa,Viscous Modulus Pa,Notes
,0.01135,120.8,1.06E+04,394,,628.3,8.30E+04,7.19E+04,4
,0.01423,1.47E+02,1.03E+04,5.18E+02,,444.8,3.32E+04,2.04E+04,4
,0.01786,1.79E+02,9.99E+03,452.8,,314.9,1.35E+04,6.04E+03,4
,0.02238,2.17E+02,9.68E+03,360.7,,222.9,1.32E+04,2.33E+02,4
,0.02809,2.62E+02,9.32E+03,273.3,,157.8,1.21E+04,1.07E+03,4
,0.03517,3.16E+02,9.00E+03,184,,111.7,1.10E+04,3.37E+03,
,0.04421,3.80E+02,8.60E+03,190,,79.1,1.04E+04,3.55E+03
,0.05545,4.50E+02,8.11E+03,66.33,,56,9.82E+03,3.84E+03
,0.06962,5.31E+02,7.63E+03,21.03,,39.64,8.47E+03,3.79E+03
,0.0872,6.14E+02,7.04E+03,1.73E+01,,28.07,7.24E+03,4.08E+03
,0.1095,7.02E+02,6.42E+03,9.51E+00,,19.87,7.14E+03,3.49E+03
,0.1372,7.82E+02,5.70E+03,1.21E+02,,14.07,6.07E+03,3.52E+03
,0.1722,8.42E+02,4.89E+03,4.58E+01,,9.958,5.11E+03,3.66E+03
,0.216,8.84E+02,4.09E+03,1.24E+02,,7.05,4.46E+03,2.76E+03
,0.2711,9.53E+02,3.51E+03,8.91E+01,,4.991,3.67E+03,3.01E+03
,0.3399,1.01E+03,2.98E+03,9.49E+01,,3.533,2.97E+03,2.69E+03
,0.4261,1.07E+03,2.51E+03,3.32E+02,,2.501,2.35E+03,2.31E+03
,0.5347,1.18E+03,2.20E+03,4.96E+02,,1.771,1.88E+03,2.12E+03
,0.6705,1.28E+03,1.92E+03,8.27E+02,,1.254,1.54E+03,1.65E+03
,0.8415,1.43E+03,1.70E+03,1.38E+03,,0.8875,1.27E+03,1.34E+03
,1.055,1.58E+03,1.50E+03,2.41E+03,,0.6283,1.09E+03,1.15E+03
,1.324,1.81E+03,1.37E+03,3.92E+03,,,G' Plateau av,G' at 0.1hz
,1.66,2.05E+03,1.24E+03,5.61E+03,,,1.32E+04,1.09E+03,
,2.083,2.28E+03,1.09E+03,7.35E+03,,Crossover Point,,,
,2.614,2.52E+03,9.63E+02,8.64E+03,,,,,
,3.278,2.78E+03,846.6,9.82E+03,,Amp Sweep Data,,,
,4.112,3.06E+03,744.5,1.12E+04,,100hz,MAV,SD,SD%
,5.158,3.53E+03,683.3,1.34E+04,,G',,,
,6.471,3.88E+03,599.7,1.85E+04,,G'',,,
,8.117,4.08E+03,503.1,2.41E+04,,50 hz,,,
,10.18,4.61E+03,452.5,3.05E+04,,G',,,
,12.78,5.69E+03,445.4,2.90E+04,,G'',,,
,16.03,6.90E+03,430.7,3.34E+04,,10hz,,,
,20.11,6.86E+03,340.9,4.26E+04,,G',,,
,25.22,3.25E+03,128.9,1.36E+04,,G'',,,
,31.63,3.71E+03,117.3,2.04E+04,,1hz,,,
,39.68,4.74E+03,119.5,3.57E+04,,G',,,
,49.78,6.30E+03,126.5,7.59E+04,,G'',,,
